		Bacteroides ovatus	Candida dubliniensis	Aspergillus puulaauensis	Methylorubrum populi	Clostridioides difficile	Ruthenibacterium lactatiformans	Dysosmobacter welbionis	[Clostridium] scindens
D9747	heat shock factor	-0.268780453	-0.005489253	0.344853928	0.039075233	0.218440032	0.240095725	0.124429655	0.041257313
D4638	COG COG3344 Retron-type reverse transcriptase	-0.077461744	0.149342122	0.513230378	0.13695181	0.254335935	0.071742692	0.178283222	0.131075003
D5432	COG1387 Histidinol phosphatase and related hydrolases of the PHP family	-0.217784684	0.043403396	0.398476206	0.058038214	0.226443223	0.050608413	0.140485094	0.142994098
D17339	Putative heavy-metal chelation	-0.222467986	0.087908536	0.331780459	0.137939443	0.283734257	-0.028049774	0.14257247	0.080578895
D21260	translation release factor activity	-0.408935281	0.062157954	0.427710175	0.191919192	0.326669457	0.098890437	0.180540516	0.089623042
D11114	lipolytic protein G-D-S-L family	-0.398449761	-0.033210748	0.505564689	0.005050505	0.209366365	0.062065128	0.083007134	-0.027608017
D12022	molybdopterin-guanine dinucleotide biosynthesis protein	-0.339778502	0.022683462	0.392422544	0.009687112	0.210847134	0.017159482	0.082833104	0.039731151
D12973	ORF11CD3 domain	-0.343168776	0.069700748	0.465887071	0.003160497	0.206435246	-0.005649311	0.102943699	0.002109749
D4611	COG COG2755 Lysophospholipase L1 and related esterases	-0.086306857	0.061141045	0.148734674	0.159338164	0.186638884	-0.233972878	0.041121471	0.046735759
D17453	"Pyridoxal-dependent decarboxylase, pyridoxal binding domain"	-0.234042509	0.025403753	0.011977964	0.190491761	0.328954682	-0.016477158	0.103179809	0.113340404
D5223	COG0657 Esterase lipase	-0.171428596	0.115615442	0.299464038	0.245317979	0.127747869	-0.092759599	-0.057948391	-0.123979381
D17101	Protoporphyrinogen oxidase	-0.270446021	0.056021579	0.3502925	0.135964177	0.130269625	-0.006203315	-0.024077704	-0.096426078
D6892	DNA glycosylase	-0.274734561	0.048708057	0.342951518	0.137939443	0.133506138	-0.000809128	-0.015420552	-0.086219418
D15802	Pirin	-0.274734561	0.048708057	0.342951518	0.137939443	0.133506138	-0.000809128	-0.015420552	-0.086219418
D4916	COG NOG26882 non supervised orthologous group	-0.119543038	-0.032179497	0.27975524	-0.017118976	0.031016577	-0.176929346	-0.046261655	-0.110661683
D4921	COG NOG27017 non supervised orthologous group	-0.079874048	0.1355927	0.27975524	-0.017118976	0.100871304	0.002697094	-0.006222328	-0.120599747
D17546	"Quinolinate phosphoribosyl transferase, C-terminal domain"	-0.226756525	0.103705744	0.179056121	-0.025020042	0.128921079	-0.011327794	-0.050049159	-0.155517268
D20893	to uniprot P00937 Saccharomyces cerevisiae YKL211c TRP3 anthranilate synthase component II	-0.199396453	-0.139205876	0.474288345	0.167954161	0.066547432	0.172623038	0.003011341	-0.075740343
D4095	Choline sulfatase enzyme C terminal	-0.298321528	-0.173915556	0.341674826	0.152753942	0.06419083	0.168838065	0.028135744	-0.051570493
D1738	ATP-binding cassette sub-family F member 2	-0.301829544	-0.122110417	0.428102963	0.075121315	0.091064907	0.153109129	0.017064266	-0.073248885
D6662	Dephospho-CoA kinase	-0.293873576	-0.111798871	0.408859054	0.098940269	0.091064907	0.146104136	0.016060485	-0.062286467
D12065	Mortierella verticillata NRRL 6337 phosphoenolpyruvate carboxykinase (ATP)	-0.303414169	-0.062311208	0.39018914	-0.003950533	0.02562239	0.090622348	-0.046802727	-0.176467781
D13095	Oxidoreductase FAD-binding domain	-0.411011696	-0.068696686	0.294240976	-0.019122086	0.05818783	0.081015364	-0.017958821	-0.16715682
D13835	"PFAM Bacterial transcription activator, effector binding"	-0.349068105	-0.128622973	0.38043728	0.083060967	0.021014979	0.003252318	-0.037641762	-0.07349803
D21426	"Trifunctional enzyme bearing the Gln amidotransferase (GATase) domain of anthranilate synthase, indole-glycerolphosphate synthase, and phosphoribosylanthranilate isomerase activities"	-0.312527315	-0.180058915	0.346143249	0.144852876	0.045311174	0.028454338	-0.038686647	-0.106767036
D9038	Glucosamine-6-phosphate isomerase	-0.360237317	-0.069039649	0.400083507	0.137939443	0.107883748	0.067427342	0.005681256	-0.134298159
D19060	Sodium/calcium exchanger protein	-0.277557883	-0.029620397	0.315824915	0.161111111	0.084822342	0.074478154	-0.019091641	-0.114964729
D19730	that arose from a segmental duplication	-0.199396453	-0.2406932	0.254611721	0.29498858	0.061543866	0.081808309	-0.003513231	0.024665441
D2519	Belongs to the peptidase M20A family	-0.109893824	-0.069039649	0.38093312	0.239665668	0.093858861	0.134315266	0.02434824	0.019607531
D1617	Asparagine synthetase	-0.213890907	-0.076938253	0.312630072	0.17645714	0.124336019	0.129190788	0.050860767	0.047541548
D15730	phosphoserine aminotransferase	-0.220323716	-0.071965058	0.304012397	0.175798718	0.114626482	0.122717763	0.043285759	0.035186118
D19038	Sodium bile acid	-0.218179446	-0.076938253	0.304012397	0.16723923	0.116244738	0.125414857	0.043826831	0.036797696
D9034	Glucosamine-6-phosphate	-0.218179446	-0.062311208	0.301459013	0.144852876	0.093589151	0.10707462	0.012444656	-0.00510333
D20475	to multidrug resistance protein 1	-0.218179446	-0.062311208	0.301459013	0.144852876	0.093589151	0.10707462	0.012444656	-0.00510333
D18375	rRNA biogenesis protein RRP5	-0.212818772	-0.051194655	0.326992862	0.158679742	0.122178344	0.114626482	0.041662543	0.031425769
D10514	interacting factor	-0.217643379	-0.069039649	0.304650744	0.148144987	0.107614038	0.116784157	0.030300032	0.017995953
D8905	Gamma-glutamyl phosphate reductase	-0.219251581	-0.063481372	0.306565782	0.148803409	0.108692876	0.114626482	0.031923248	0.018533146
D2622	Belongs to the spermidine spermine synthase family	-0.219251581	-0.063481372	0.306565782	0.148803409	0.108692876	0.114626482	0.031923248	0.018533146
D2804	Beta-alanine synthase	-0.219251581	-0.063481372	0.306565782	0.148803409	0.108692876	0.114626482	0.031923248	0.018533146
D18877	Sirohaem biosynthesis protein C-terminal	-0.216571244	-0.050609573	0.315821803	0.147486565	0.106535201	0.10707462	0.024889312	0.008863678
D22047	Urea amidolyase	-0.215499109	-0.056752932	0.316460149	0.148803409	0.113008226	0.113008226	0.033005392	0.020144724
D9446	Glycosyl-hydrolase 97 N-terminal	-0.165412872	-0.017216166	0.494462559	0.239036034	0.200336951	-0.064884291	0.115320893	0.097405403
D13370	penicillin-binding protein 2	-0.159212028	-0.032179497	0.498229241	0.226497225	0.110850551	-0.04719914	0.013797336	0.018533146
D5799	COG4953 Membrane carboxypeptidase penicillin-binding protein PbpC	-0.159212028	-0.032179497	0.498229241	0.226497225	0.110850551	-0.04719914	0.013797336	0.018533146
D10944	L-fucose H symporter permease	-0.159212028	-0.032179497	0.498229241	0.226497225	0.110850551	-0.04719914	0.013797336	0.018533146
D3979	Cellulase (glycosyl hydrolase family 5)	-0.299064767	-0.11237038	0.377446522	0.193480426	0.267044437	-0.002144935	0.067342238	0.143331196
D15528	Phosphoadenosine phosphosulfate reductase	-0.318675571	-0.13179673	0.298885864	0.046079235	0.220284849	0.083223487	0.106499706	0.113853245
D5595	COG2243 Precorrin-2 methylase	-0.208798266	-0.032179497	0.27975524	0.177773984	0.210643018	-0.146991606	0.003787504	0.078161529
D7488	Domain of unknown function (DUF4374)	-0.262673043	-0.154607858	0.377741388	0.16723923	0.224398195	-0.04719914	0.0067634	-0.037066292
